"Age","Gender","Ethnicity","SatisfactionScore","PerformanceRating","Tenure","CommuteDistance","LastPromotion","DecisionToLeave"
62,"Female","Caucasian",6,10,22,7,8,1
56,"Male","Caucasian",9,2,21,24,0,1
45,"Female","Other",9,10,22,21,10,1
65,"Female","Caucasian",1,7,4,28,3,1
55,"Male","Other",2,2,19,15,13,1
45,"Male","African",1,6,13,14,7,1
49,"Male","African",3,2,13,13,6,1
39,"Female","Indigenous",1,7,11,14,5,1
51,"Male","Indigenous",2,8,7,30,6,1
43,"Female","Indigenous",2,6,23,44,15,1
47,"Female","Asian",9,2,0,45,0,1
41,"Male","African",9,10,21,6,9,0
52,"Male","Indigenous",9,10,15,29,6,1
61,"Female","Indigenous",6,1,17,19,11,1
51,"Male","Other",10,8,1,36,0,0
29,"Male","Caucasian",4,1,12,48,2,1
46,"Female","African",10,9,5,22,4,1
59,"Female","Other",7,1,16,24,1,1
56,"Male","African",5,7,10,25,9,0
22,"Male","African",5,6,5,28,2,1
51,"Female","Indigenous",8,2,25,18,18,1
25,"Male","Caucasian",5,3,3,44,0,1
49,"Male","African",10,8,15,13,14,0
62,"Male","Asian",7,10,1,14,0,0
54,"Female","Hispanic",10,2,3,18,1,1
64,"Female","Other",1,6,5,21,3,1
27,"Male","Caucasian",6,8,15,13,6,1
41,"Male","Indigenous",4,6,11,16,4,0
35,"Female","Asian",3,1,10,46,2,1
30,"Male","Other",3,7,9,40,2,0
49,"Male","Other",1,3,11,50,1,1
52,"Female","Other",1,7,8,39,4,1
45,"Male","Asian",5,6,20,11,0,1
27,"Male","Hispanic",4,8,8,22,1,1
65,"Male","Other",9,5,2,9,0,1
43,"Female","Asian",8,1,19,48,2,0
32,"Male","Indigenous",1,5,20,31,8,0
30,"Female","Hispanic",2,4,19,48,10,1
39,"Female","Other",6,1,20,10,16,1
64,"Female","Indigenous",6,9,5,29,2,1
40,"Female","Caucasian",2,6,20,12,1,0
54,"Male","Indigenous",8,7,16,5,0,0
64,"Female","Hispanic",2,3,25,15,5,1
61,"Female","Other",2,6,23,11,2,1
32,"Male","Asian",3,4,11,7,3,0
54,"Male","Asian",9,3,15,28,12,1
59,"Female","African",3,10,20,8,14,1
55,"Female","Other",5,2,16,8,5,0
58,"Male","Indigenous",5,3,2,36,1,1
22,"Female","Asian",8,4,9,42,3,1
51,"Female","Caucasian",5,10,15,12,8,1
39,"Male","Caucasian",9,10,12,45,6,1
25,"Female","Asian",6,10,3,46,0,1
36,"Female","Caucasian",6,10,23,30,6,0
28,"Male","Asian",9,6,0,39,0,1
35,"Male","Indigenous",4,7,14,35,12,1
31,"Male","Other",4,9,5,27,3,1
56,"Male","Hispanic",5,1,1,37,0,1
28,"Female","Other",5,3,11,35,6,1
26,"Male","Other",4,8,10,22,2,0
45,"Female","Indigenous",2,1,2,11,0,0
59,"Male","Hispanic",8,7,7,42,4,1
26,"Male","African",8,4,20,25,6,1
42,"Female","Hispanic",10,7,25,16,5,1
62,"Male","Asian",2,2,5,17,3,1
56,"Female","Other",3,10,14,14,5,1
24,"Male","Hispanic",1,3,24,17,13,1
30,"Female","Asian",8,10,10,49,9,1
48,"Female","African",9,9,11,12,4,1
50,"Female","Asian",8,2,16,20,6,1
48,"Female","African",2,6,2,28,1,1
60,"Female","African",3,2,19,36,17,1
63,"Male","Caucasian",5,9,19,33,3,1
38,"Male","Other",3,8,6,41,5,1
55,"Male","Indigenous",6,10,22,47,19,1
41,"Male","Caucasian",10,2,4,19,2,1
47,"Female","Caucasian",9,5,11,12,8,1
33,"Female","African",6,7,12,34,9,1
45,"Male","Caucasian",7,2,2,17,1,1
45,"Female","Asian",3,10,11,49,5,1
59,"Male","Other",8,4,25,41,22,1
51,"Female","African",7,9,5,25,0,1
43,"Male","Hispanic",3,5,6,15,1,1
51,"Male","Hispanic",4,9,9,43,7,1
31,"Male","Asian",5,2,23,30,5,1
54,"Male","African",2,10,13,44,1,1
63,"Female","Asian",3,9,9,10,5,1
28,"Female","Hispanic",3,8,9,50,6,1
46,"Female","Caucasian",8,1,15,41,12,1
45,"Female","African",4,7,14,5,10,1
23,"Female","African",5,2,17,32,10,0
57,"Male","Hispanic",1,3,15,12,11,0
29,"Male","Hispanic",10,10,25,27,22,1
35,"Female","Caucasian",2,6,2,41,0,1
38,"Male","Caucasian",5,4,15,44,14,1
58,"Female","Caucasian",9,3,16,25,8,1
38,"Male","Other",8,8,2,5,1,1
37,"Female","Asian",3,1,11,39,5,0
53,"Male","Caucasian",10,7,4,25,3,1
46,"Female","Hispanic",6,8,6,29,3,1
59,"Female","Hispanic",10,8,10,42,3,1
24,"Female","Indigenous",3,8,14,21,10,1
35,"Male","Indigenous",8,6,9,42,2,0
30,"Female","African",6,1,0,15,0,1
65,"Female","African",10,10,23,27,3,1
30,"Female","Hispanic",8,4,2,9,1,0
45,"Male","Other",4,4,0,36,0,1
24,"Male","Indigenous",9,6,21,20,14,0
57,"Male","Other",5,5,1,12,0,1
56,"Male","African",3,1,13,22,2,1
60,"Female","Hispanic",6,9,1,11,0,1
54,"Male","Indigenous",7,3,24,22,5,0
58,"Male","Caucasian",9,6,10,19,4,1
43,"Male","Other",6,7,23,17,17,0
25,"Male","Hispanic",5,8,5,7,0,1
50,"Female","Caucasian",6,10,16,26,3,1
48,"Female","Other",6,8,24,35,5,1
29,"Male","Caucasian",3,10,4,32,0,1
65,"Female","Asian",7,4,12,43,4,1
65,"Male","African",6,8,21,19,17,0
33,"Male","Asian",6,1,25,8,23,0
30,"Male","Asian",10,7,21,27,1,0
45,"Female","African",5,8,3,18,2,1
24,"Male","Indigenous",7,9,15,5,1,0
24,"Male","Other",8,6,2,50,0,1
47,"Male","Indigenous",8,6,9,32,1,1
62,"Female","Hispanic",10,3,22,50,7,1
28,"Male","African",9,1,9,9,5,0
48,"Female","Hispanic",8,7,20,10,11,1
44,"Female","Indigenous",3,10,1,33,0,0
65,"Female","Indigenous",6,1,19,48,14,1
53,"Female","Hispanic",2,1,17,25,16,1
36,"Female","Indigenous",5,2,3,15,0,1
41,"Male","Indigenous",10,7,15,17,1,1
56,"Female","Hispanic",9,8,14,10,1,1
48,"Male","African",4,10,7,33,5,1
40,"Female","Other",8,6,3,35,0,1
23,"Female","Hispanic",1,8,22,22,14,1
43,"Male","African",4,5,3,43,2,1
58,"Female","Asian",10,6,5,23,0,0
62,"Female","Hispanic",7,5,17,50,2,1
54,"Female","Asian",1,6,15,31,3,1
25,"Male","Caucasian",10,7,0,31,0,1
39,"Male","Caucasian",5,9,14,21,7,1
58,"Male","Hispanic",9,7,4,43,0,1
56,"Female","Asian",9,9,7,50,1,1
63,"Female","Indigenous",5,8,24,43,14,1
46,"Female","Hispanic",6,2,5,8,2,0
60,"Male","Hispanic",9,4,19,26,11,0
35,"Male","Indigenous",7,3,5,32,4,1
48,"Female","Caucasian",1,9,20,32,9,1
31,"Male","African",2,6,0,13,0,1
44,"Male","Caucasian",6,2,3,45,2,1
31,"Male","Indigenous",4,3,12,48,0,1
42,"Female","Caucasian",7,6,24,36,12,1
62,"Female","Asian",5,8,23,46,22,1
60,"Male","Hispanic",3,10,5,27,1,1
27,"Male","African",3,2,4,5,2,1
49,"Male","African",10,9,5,20,4,0
29,"Male","Other",5,5,18,33,7,0
52,"Female","African",10,3,13,47,3,1
47,"Male","African",1,7,15,23,0,1
45,"Female","African",6,1,23,42,12,1
58,"Male","Other",1,1,15,30,5,1
40,"Male","Indigenous",1,1,6,39,4,1
41,"Female","Caucasian",10,1,2,16,1,1
32,"Male","African",1,5,8,46,0,1
48,"Male","Other",1,9,21,46,13,1
28,"Male","Hispanic",2,3,19,33,18,0
63,"Female","Other",1,4,15,12,3,1
65,"Male","Indigenous",3,9,1,37,0,1
25,"Female","Caucasian",9,5,1,25,0,1
52,"Male","Indigenous",4,7,1,31,0,0
56,"Female","Hispanic",6,8,9,37,1,1
22,"Male","Indigenous",6,2,2,31,1,1
26,"Male","Indigenous",5,5,24,46,17,1
38,"Female","Caucasian",3,7,16,18,14,1
64,"Male","Hispanic",5,9,14,18,13,1
22,"Male","Asian",9,8,7,49,3,1
45,"Female","African",8,3,21,22,10,1
54,"Female","Hispanic",5,5,4,43,0,1
39,"Male","African",6,1,11,49,10,1
24,"Male","Hispanic",10,8,11,39,1,1
26,"Female","African",8,5,12,27,7,1
60,"Male","African",10,9,24,27,20,0
27,"Male","Asian",5,2,24,14,16,0
37,"Male","Caucasian",5,2,9,6,2,1
34,"Male","Caucasian",8,6,1,20,0,1
54,"Female","African",4,6,25,7,23,1
31,"Female","Indigenous",6,2,12,9,4,1
35,"Female","Hispanic",6,9,25,40,16,1
63,"Female","Caucasian",4,9,9,12,2,1
55,"Male","Hispanic",1,9,7,19,6,1
37,"Female","Asian",8,2,17,35,9,1
62,"Male","Indigenous",10,10,22,8,2,0
38,"Female","Indigenous",2,3,24,6,20,1
23,"Male","Indigenous",1,3,24,14,12,1
36,"Male","Indigenous",2,6,6,9,1,1
44,"Male","Caucasian",4,8,6,33,1,1
48,"Male","Asian",9,2,10,22,5,0
61,"Female","Hispanic",8,9,22,42,4,1
24,"Male","Hispanic",2,8,5,34,2,0
55,"Female","Caucasian",1,10,11,14,4,1
24,"Male","Asian",7,7,14,26,9,0
64,"Male","Caucasian",7,8,24,32,10,1
58,"Male","Indigenous",9,5,10,47,8,1
43,"Male","Hispanic",7,4,17,40,1,1
54,"Female","Other",3,1,23,10,5,1
24,"Male","Asian",3,8,0,10,0,1
35,"Male","African",6,7,7,12,0,0
59,"Female","Asian",4,7,20,30,1,1
37,"Male","Indigenous",10,10,16,50,10,0
31,"Male","Caucasian",2,5,20,34,3,0
48,"Female","Indigenous",10,10,24,17,18,1
29,"Male","African",4,5,14,28,8,0
44,"Male","African",9,8,5,17,2,1
30,"Male","Hispanic",3,6,21,21,20,1
56,"Male","Hispanic",1,8,12,7,8,1
55,"Female","Asian",4,4,6,5,2,1
59,"Male","Indigenous",3,6,6,43,1,1
55,"Male","African",3,5,17,47,7,1
51,"Female","Caucasian",8,8,3,26,2,1
46,"Male","Indigenous",8,3,22,42,18,1
51,"Female","Other",10,2,6,48,3,1
30,"Male","Asian",1,6,18,13,12,1
58,"Female","Other",6,7,14,14,3,1
38,"Female","Caucasian",6,9,16,19,13,1
65,"Male","Hispanic",4,1,17,41,0,1
41,"Female","Hispanic",10,10,17,46,10,0
57,"Female","Caucasian",10,10,14,19,3,1
59,"Female","Hispanic",7,10,17,10,6,1
55,"Male","Caucasian",1,4,13,43,11,1
24,"Male","Hispanic",4,9,4,17,3,0
38,"Male","Other",5,10,2,31,1,1
45,"Female","Indigenous",3,7,16,49,6,1
32,"Male","Indigenous",4,1,17,49,2,1
29,"Male","Caucasian",6,3,22,44,18,1
60,"Male","Caucasian",3,1,22,21,18,1
41,"Male","Hispanic",5,2,14,8,6,1
49,"Female","Indigenous",9,1,3,28,0,1
44,"Male","Indigenous",10,2,22,13,11,0
54,"Female","Asian",7,8,0,50,0,1
40,"Female","Asian",1,4,21,20,0,0
37,"Female","Indigenous",3,1,3,5,0,1
61,"Female","Other",9,2,20,14,13,1
31,"Male","Other",10,2,19,30,9,0
31,"Female","Caucasian",10,7,1,7,0,1
40,"Female","Asian",9,1,12,11,2,1
34,"Male","Indigenous",9,8,2,6,1,0
44,"Female","Asian",10,1,10,15,6,1
65,"Female","Asian",10,1,13,39,1,1
61,"Male","Indigenous",8,4,10,8,7,0
59,"Male","Indigenous",3,4,24,29,12,1
60,"Male","Hispanic",1,1,13,24,5,1
60,"Male","Hispanic",8,9,17,11,6,0
58,"Male","Asian",5,3,5,50,1,1
22,"Female","Indigenous",5,9,2,43,0,0
64,"Male","Asian",1,5,13,38,6,1
55,"Male","Hispanic",2,6,21,18,6,1
44,"Male","Other",6,5,3,19,2,0
63,"Male","Caucasian",5,4,16,49,6,1
59,"Male","Hispanic",2,3,8,40,3,1
57,"Female","Indigenous",7,4,12,9,2,1
33,"Female","Asian",1,7,19,38,18,1
27,"Male","Caucasian",6,2,10,24,2,0
38,"Male","Other",10,9,0,39,0,1
22,"Female","Other",3,8,17,13,2,1
64,"Female","Asian",9,6,8,42,4,0
41,"Female","Caucasian",4,1,7,5,5,1
47,"Male","Caucasian",7,8,5,29,1,1
40,"Female","Indigenous",3,8,13,14,3,1
58,"Male","Other",1,9,17,39,8,1
24,"Female","Asian",3,8,23,42,5,1
40,"Male","Caucasian",5,10,12,31,4,1
41,"Female","African",9,3,11,33,5,1
52,"Female","Hispanic",4,6,15,39,11,1
35,"Male","Asian",4,4,20,37,1,0
55,"Female","Hispanic",8,9,6,48,3,1
54,"Female","Indigenous",6,9,9,8,5,0
43,"Male","African",9,5,18,21,13,0
28,"Male","Caucasian",1,2,14,33,12,0
59,"Female","Asian",5,1,16,35,12,1
65,"Female","African",1,10,16,49,9,1
64,"Female","Asian",9,5,17,27,6,1
31,"Female","Indigenous",6,6,1,45,0,1
51,"Female","Hispanic",6,5,9,31,4,1
46,"Male","Other",8,10,23,32,16,0
31,"Female","Indigenous",5,1,13,25,8,1
51,"Male","Caucasian",3,4,4,15,2,1
48,"Female","Hispanic",5,10,15,13,14,1
40,"Female","African",6,4,6,26,5,1
63,"Female","Indigenous",2,10,5,35,3,1
30,"Female","African",9,8,13,47,1,0
43,"Male","Other",10,1,3,46,0,0
48,"Female","Indigenous",4,1,4,27,0,1
29,"Male","Caucasian",3,4,21,45,16,1
40,"Female","Caucasian",5,5,11,40,0,1
28,"Male","African",5,9,24,23,10,0
47,"Male","African",10,4,2,36,0,1
37,"Male","African",9,9,14,48,13,1
29,"Female","Indigenous",7,9,10,48,0,1
44,"Male","Indigenous",7,6,16,12,13,1
42,"Male","Indigenous",5,5,9,44,7,1
37,"Female","Hispanic",5,2,7,9,6,1
52,"Female","African",6,6,7,20,3,1
50,"Male","Caucasian",10,8,10,35,5,1
64,"Female","Asian",4,7,14,31,4,1
48,"Female","Caucasian",3,4,19,10,4,1
31,"Female","Other",6,4,21,5,5,1
41,"Female","Hispanic",1,3,4,28,0,0
39,"Female","Caucasian",3,6,7,47,4,0
37,"Female","African",7,5,20,13,17,1
29,"Male","Caucasian",5,10,4,26,3,1
42,"Male","Indigenous",4,6,18,27,12,1
58,"Female","Caucasian",9,7,11,45,6,1
44,"Male","Hispanic",3,2,13,38,7,1
23,"Male","Asian",6,3,4,8,0,1
54,"Female","Caucasian",6,1,3,35,0,1
49,"Female","Caucasian",5,8,15,45,13,1
52,"Male","Caucasian",2,10,11,19,0,1
49,"Male","African",5,4,3,25,2,1
63,"Male","Asian",5,7,16,34,12,1
30,"Female","Other",3,8,8,31,3,1
54,"Female","African",5,10,24,12,3,1
38,"Male","Caucasian",9,5,13,26,0,1
27,"Female","African",8,5,17,36,16,1
33,"Male","Other",9,7,2,34,1,1
40,"Female","Other",6,10,22,34,20,1
54,"Female","Asian",5,6,1,20,0,1
32,"Female","Hispanic",6,5,15,50,4,1
49,"Male","African",1,9,12,13,5,1
48,"Male","African",8,5,10,22,8,0
37,"Female","Hispanic",6,6,3,6,2,1
35,"Male","Other",4,5,3,34,0,1
44,"Male","Caucasian",4,1,9,8,0,1
58,"Male","Other",5,1,16,38,1,1
61,"Female","Hispanic",3,8,12,39,5,1
40,"Male","Indigenous",6,7,6,22,1,1
65,"Male","Indigenous",5,1,4,43,1,1
28,"Female","Caucasian",5,6,18,12,12,1
54,"Female","African",2,9,20,23,15,1
45,"Female","Other",9,6,11,32,6,1
36,"Male","Asian",10,4,4,22,2,0
29,"Female","Caucasian",5,6,21,34,1,1
27,"Male","Other",7,2,7,50,4,1
64,"Male","Other",7,9,9,14,0,1
55,"Male","Indigenous",8,9,8,7,4,0
54,"Female","Indigenous",9,8,8,33,7,1
51,"Female","Hispanic",3,2,4,6,2,1
58,"Male","Asian",7,5,19,31,14,0
58,"Male","African",8,9,18,34,7,1
64,"Female","African",6,5,2,5,1,1
48,"Female","Asian",1,4,1,30,0,1
48,"Male","Asian",8,4,22,30,2,0
38,"Male","Caucasian",8,1,14,18,6,1
38,"Female","African",6,3,17,18,16,1
47,"Male","African",5,8,22,8,15,0
51,"Female","Caucasian",4,5,0,19,0,1
48,"Male","Caucasian",1,5,7,31,2,1
40,"Female","Caucasian",5,10,16,6,11,1
34,"Female","Caucasian",7,8,7,26,6,0
39,"Female","Asian",7,8,9,24,7,1
31,"Male","Caucasian",1,6,13,38,10,1
24,"Female","Other",10,9,16,9,2,1
49,"Female","Other",3,10,22,48,17,1
42,"Male","Asian",2,6,23,47,3,1
31,"Female","Hispanic",6,4,11,28,7,0
54,"Female","Caucasian",9,4,6,28,5,1
32,"Male","Indigenous",1,4,4,44,3,1
34,"Female","Indigenous",2,6,16,15,0,0
28,"Male","Indigenous",4,6,24,24,5,0
61,"Male","Indigenous",8,9,15,30,4,0
57,"Male","Other",1,1,0,7,0,1
35,"Female","Indigenous",5,2,11,18,5,0
26,"Female","Caucasian",1,9,21,17,13,0
41,"Female","Hispanic",4,9,25,13,5,1
44,"Male","Caucasian",9,8,7,17,3,1
40,"Female","Caucasian",1,3,15,34,11,0
24,"Male","African",6,3,0,37,0,1
23,"Female","African",9,2,13,35,8,0
59,"Female","Indigenous",9,3,25,36,0,1
60,"Female","Other",5,3,16,27,1,1
31,"Male","Caucasian",9,2,10,16,5,1
63,"Female","Other",5,4,2,20,0,0
63,"Male","African",2,6,4,27,0,1
49,"Female","Caucasian",6,8,11,9,1,1
56,"Male","Indigenous",7,10,2,41,1,0
45,"Female","Caucasian",9,4,3,49,1,1
38,"Male","Other",2,3,8,39,5,1
31,"Female","African",8,4,15,42,0,1
63,"Male","Hispanic",3,8,24,31,6,0
61,"Male","African",4,6,19,47,8,1
46,"Male","Indigenous",4,9,9,15,6,1
44,"Female","African",4,1,23,50,19,1
34,"Male","Indigenous",4,5,25,36,4,1
61,"Male","Caucasian",9,6,22,7,20,1
48,"Female","African",2,10,8,34,2,1
58,"Female","Indigenous",4,1,14,16,10,1
38,"Male","Other",7,9,3,37,2,1
46,"Male","Hispanic",10,9,6,25,4,0
30,"Male","Asian",3,5,22,25,5,1
61,"Female","Caucasian",1,2,21,42,9,1
49,"Male","Asian",3,5,6,16,0,0
40,"Male","Other",8,7,17,13,8,0
34,"Female","Caucasian",4,5,6,41,3,1
54,"Female","Caucasian",8,5,13,19,10,1
33,"Male","Other",9,4,3,22,2,1
22,"Male","Hispanic",2,6,14,13,13,1
59,"Female","Indigenous",6,9,11,11,1,1
40,"Male","Indigenous",3,7,12,6,5,1
40,"Male","African",4,7,19,50,16,1
58,"Male","Hispanic",3,2,10,30,3,1
44,"Male","Asian",9,9,14,49,7,1
48,"Female","African",10,2,3,25,1,1
52,"Female","Hispanic",10,4,24,19,1,1
43,"Male","Indigenous",8,3,14,15,7,0
34,"Male","Indigenous",1,6,19,25,8,1
35,"Male","Hispanic",5,2,18,24,0,0
65,"Male","Asian",10,7,0,10,0,0
41,"Female","Hispanic",4,2,10,46,7,1
29,"Female","African",3,2,3,14,1,0
64,"Female","Indigenous",3,4,16,31,15,1
35,"Female","Hispanic",7,4,24,14,6,1
23,"Female","Indigenous",1,9,3,40,0,1
35,"Male","Indigenous",6,6,23,39,15,0
51,"Male","Indigenous",6,7,12,47,5,1
31,"Male","Hispanic",9,5,15,27,9,1
23,"Male","Hispanic",10,10,4,8,1,1
63,"Female","Indigenous",10,7,9,5,0,1
53,"Male","Indigenous",9,4,22,26,16,0
24,"Female","African",6,9,24,27,11,1
55,"Male","Indigenous",5,2,6,12,5,1
49,"Male","Indigenous",4,10,8,8,6,1
49,"Male","Asian",8,7,17,11,15,1
51,"Male","Hispanic",1,9,15,12,6,1
31,"Male","Hispanic",7,5,4,10,1,0
46,"Male","African",1,10,16,31,11,0
40,"Male","Other",2,7,25,44,11,1
33,"Female","Asian",9,3,23,26,1,1
39,"Male","Other",3,4,15,13,7,1
52,"Female","Caucasian",5,6,10,44,7,1
39,"Male","Caucasian",10,3,25,39,16,1
64,"Female","Asian",5,9,9,30,7,1
30,"Male","Other",4,1,17,12,15,1
29,"Male","African",8,9,7,27,6,0
62,"Female","Asian",4,5,3,24,0,1
29,"Male","Caucasian",10,6,23,28,4,0
56,"Male","Caucasian",9,9,17,10,2,1
29,"Female","Hispanic",7,1,4,27,0,1
31,"Male","Indigenous",6,6,17,33,10,1
31,"Male","Other",1,7,21,48,5,1
55,"Female","Other",3,8,11,18,6,1
32,"Female","Hispanic",2,4,14,12,6,1
63,"Female","African",9,7,8,47,4,1
41,"Female","Other",3,2,8,28,1,0
23,"Female","Caucasian",4,6,14,21,5,0
52,"Female","Other",3,5,8,8,3,1
46,"Male","Asian",2,8,3,11,0,1
31,"Male","Hispanic",5,7,16,30,5,0
53,"Male","Hispanic",10,3,19,33,5,1
57,"Female","African",4,1,17,13,6,1
36,"Female","Other",7,8,16,30,3,1
44,"Male","Asian",2,5,21,12,17,1
45,"Male","Hispanic",8,5,24,43,15,1
46,"Female","African",1,10,13,35,4,0
32,"Male","Other",5,10,15,11,2,1
40,"Male","Other",8,5,7,24,1,0
63,"Female","Asian",9,4,20,49,4,1
55,"Male","Other",9,9,25,45,17,1
26,"Female","Asian",1,7,21,37,2,0
40,"Male","African",8,8,17,8,3,0
44,"Female","Hispanic",2,2,20,41,13,1
64,"Male","Hispanic",7,3,11,34,4,0
64,"Male","Caucasian",2,6,12,19,1,1
63,"Male","Hispanic",8,10,10,48,6,1
26,"Female","Caucasian",4,9,20,37,15,0
42,"Male","Asian",4,3,14,12,2,0
63,"Female","Asian",8,1,10,32,5,1
38,"Female","Hispanic",6,6,16,18,4,1
56,"Male","African",4,7,3,24,2,1
31,"Female","Other",7,10,5,21,2,1
49,"Male","Hispanic",2,9,7,40,1,1
55,"Female","African",3,5,16,49,1,1
43,"Female","Caucasian",2,6,21,26,5,1
26,"Female","Asian",4,9,10,47,9,0
45,"Female","Asian",9,4,24,44,20,1
33,"Male","Asian",8,9,24,8,21,1
36,"Male","Other",4,4,3,34,0,1
47,"Female","Indigenous",5,8,6,10,4,1
59,"Female","Hispanic",8,9,23,39,15,1
54,"Female","Hispanic",5,3,2,43,0,1
49,"Male","Other",3,10,0,47,0,1
44,"Male","Other",2,9,7,13,3,1
62,"Male","Other",7,6,13,41,2,1
35,"Female","African",7,10,16,30,1,0
33,"Male","African",2,4,9,45,3,1
39,"Male","African",5,4,19,5,16,1
28,"Female","Other",10,1,6,28,3,1
37,"Male","Indigenous",8,3,13,50,1,1
33,"Female","Caucasian",1,9,20,10,1,0
65,"Female","Indigenous",8,9,24,33,13,1
27,"Female","Caucasian",2,10,3,38,2,1
40,"Female","Indigenous",1,8,10,41,9,1
23,"Female","Asian",7,8,16,12,8,0
29,"Male","Hispanic",1,5,9,13,6,1
45,"Male","Asian",10,2,17,46,16,1
42,"Female","African",5,1,19,47,3,1
54,"Female","Indigenous",8,3,23,45,14,1
46,"Female","Hispanic",8,6,1,16,0,1
49,"Female","Other",7,10,14,5,10,0
46,"Male","Hispanic",4,1,7,7,5,0
54,"Female","Indigenous",5,8,25,13,2,1
27,"Male","Hispanic",4,4,3,26,1,1
40,"Male","Asian",2,9,4,25,1,1
57,"Male","African",5,10,8,11,7,0
42,"Female","Hispanic",8,3,4,19,3,1
22,"Male","Indigenous",5,3,4,28,2,1
22,"Male","Caucasian",2,7,20,34,3,0
22,"Female","Hispanic",1,1,18,5,7,1
36,"Male","Hispanic",6,1,5,23,3,0
47,"Female","Asian",1,7,22,28,6,1
48,"Female","Indigenous",8,2,18,14,17,1
39,"Male","Asian",7,10,19,10,11,1
42,"Female","Caucasian",6,10,12,39,3,1
51,"Female","African",10,3,1,42,0,1
32,"Male","Asian",3,9,15,38,13,1
54,"Male","Caucasian",1,10,13,9,10,1
51,"Male","Asian",10,9,22,45,4,0
31,"Male","Indigenous",6,3,0,22,0,0
62,"Male","African",3,8,7,39,5,1
58,"Male","Caucasian",3,4,20,13,19,1
59,"Male","African",2,2,21,27,6,1
64,"Female","Indigenous",9,6,11,41,2,1
58,"Female","Caucasian",6,10,8,39,1,1
40,"Male","African",7,10,23,9,12,1
27,"Male","Asian",4,8,8,43,3,1
29,"Female","Indigenous",5,9,2,11,1,1
37,"Female","Indigenous",1,3,8,50,7,0
38,"Female","African",10,7,0,36,0,1
65,"Female","Indigenous",3,9,21,13,14,1
63,"Male","African",7,10,10,16,9,1
29,"Male","Asian",2,5,22,32,11,0
61,"Female","African",10,6,21,30,16,1
60,"Male","Hispanic",7,2,0,19,0,0
32,"Male","Other",2,3,22,40,7,1
63,"Male","Hispanic",10,9,4,19,3,0
36,"Female","African",8,9,8,35,3,1
52,"Male","Asian",4,5,12,38,1,1
40,"Male","Asian",4,9,2,10,0,0
44,"Male","Other",4,5,9,42,5,1
46,"Female","Indigenous",1,3,12,32,0,0
24,"Male","Indigenous",3,3,17,10,9,1
49,"Female","Indigenous",10,2,16,40,8,1
63,"Female","Indigenous",10,1,11,41,2,1
37,"Male","Indigenous",8,5,4,26,3,0
42,"Female","African",1,8,23,23,21,1
48,"Male","Hispanic",1,10,23,29,19,1
52,"Female","Asian",3,3,8,22,1,1
54,"Female","Asian",5,2,11,24,7,1
30,"Female","Other",3,8,9,32,3,1
64,"Female","Other",4,2,22,41,10,1
58,"Female","Hispanic",4,5,24,46,21,1
48,"Female","Other",6,1,1,26,0,1
56,"Male","Hispanic",4,2,12,15,10,1
26,"Male","Other",2,6,2,6,1,1
49,"Male","Hispanic",5,10,12,36,1,1
32,"Male","Caucasian",5,3,6,49,4,1
58,"Female","Other",7,8,20,5,11,1
29,"Female","African",1,1,9,37,7,1
59,"Male","Other",1,3,16,6,11,1
42,"Male","Indigenous",2,8,12,33,10,0
25,"Male","Asian",2,9,3,39,1,1
26,"Male","Other",9,4,19,28,2,0
45,"Male","African",3,3,5,10,1,0
33,"Male","Indigenous",4,3,16,24,14,1
60,"Female","Indigenous",4,3,1,9,0,1
49,"Male","Other",8,7,10,18,0,0
63,"Female","African",4,8,16,9,1,1
57,"Male","Caucasian",1,6,15,9,0,1
23,"Female","Other",1,8,0,43,0,0
33,"Male","Caucasian",8,7,8,42,1,1
22,"Female","Caucasian",5,8,17,23,1,1
33,"Female","Indigenous",1,6,14,34,12,1
52,"Female","Indigenous",9,6,18,37,6,1
22,"Female","Hispanic",7,9,16,48,8,0
31,"Female","Other",5,7,9,10,8,1
52,"Female","Asian",4,10,24,12,13,1
24,"Female","African",10,3,19,44,10,1
38,"Female","African",5,7,11,19,3,1
25,"Female","Asian",2,1,3,20,2,1
46,"Male","Hispanic",9,7,12,49,0,1
32,"Female","African",3,1,18,20,4,1
60,"Male","Asian",5,1,23,44,22,1
31,"Male","Hispanic",4,2,6,37,0,1
37,"Male","Indigenous",10,7,25,10,5,0
28,"Male","Hispanic",6,3,20,6,15,1
56,"Female","African",2,1,14,10,3,1
52,"Male","African",7,5,9,25,3,0
42,"Male","African",10,7,1,40,0,1
47,"Female","African",9,2,23,21,12,1
50,"Female","Caucasian",1,6,19,13,13,1
64,"Male","Indigenous",10,5,25,40,10,1
58,"Male","Hispanic",6,5,12,38,4,1
34,"Male","Hispanic",6,9,23,23,9,0
25,"Female","Caucasian",7,10,5,43,0,1
29,"Female","Asian",3,4,4,44,2,1
56,"Male","Caucasian",1,1,7,11,5,1
30,"Male","Asian",2,6,2,30,0,1
34,"Female","Other",7,4,0,22,0,1
26,"Female","African",5,5,1,26,0,1
33,"Female","Other",10,8,11,14,3,1
25,"Male","African",2,4,16,5,0,1
46,"Female","African",3,2,10,37,0,1
31,"Male","Indigenous",6,9,11,33,1,0
24,"Male","Hispanic",8,1,6,5,2,0
60,"Female","Caucasian",3,6,19,6,0,1
59,"Female","Caucasian",6,8,24,9,11,1
