Age,YearsAtCompany,EducationLevel,JobPerformanceRating,TrainingCompleted,MentorshipProgramParticipation,Department,HighPotential
31,4,3,9,7,1,2,1
33,3,3,4,8,0,5,0
38,3,1,4,2,0,4,1
23,14,2,3,2,0,3,0
40,11,1,10,0,1,3,1
50,3,3,6,8,0,3,0
22,13,3,8,1,0,3,1
43,4,2,6,9,1,2,1
46,6,2,9,7,0,5,1
31,11,1,8,5,0,3,1
30,2,2,10,7,0,2,1
40,8,3,1,5,1,1,1
33,11,3,3,6,1,2,1
50,6,3,8,2,0,3,1
39,13,3,4,7,1,3,1
37,12,2,6,7,0,2,0
25,4,3,2,4,0,3,0
46,11,3,6,3,0,3,0
43,11,3,2,3,1,2,1
50,10,1,2,5,1,5,1
43,12,1,3,5,0,4,0
36,4,3,5,6,0,5,0
23,12,2,4,1,0,2,0
34,1,2,2,2,0,3,0
33,7,1,10,0,1,5,1
47,4,1,2,2,1,2,1
33,7,2,3,5,1,2,1
48,12,1,9,2,0,1,1
56,10,1,2,0,0,3,0
23,6,3,8,3,1,1,1
38,2,2,9,8,1,4,1
23,14,3,3,3,1,2,1
38,13,1,10,9,0,2,1
55,10,1,7,1,1,3,1
55,4,1,6,0,0,1,0
30,12,1,2,6,1,1,1
35,4,2,10,4,1,3,1
41,10,2,7,6,1,1,1
54,11,2,10,4,0,3,1
45,8,2,3,1,1,1,1
26,14,3,6,3,1,3,1
53,9,3,7,9,1,4,1
44,5,3,2,6,1,3,1
22,8,1,6,2,0,3,0
59,11,2,9,8,0,1,1
53,9,2,5,8,0,1,0
37,10,2,7,2,1,3,1
41,14,3,6,9,1,3,1
37,13,1,7,3,0,1,0
34,5,1,1,2,1,2,1
32,2,1,3,1,0,5,1
38,6,3,6,1,0,4,1
28,11,2,7,5,0,3,1
43,1,3,3,6,0,1,1
52,4,2,10,1,1,5,1
25,7,1,2,7,1,3,1
38,14,2,5,9,0,1,0
22,4,1,9,9,1,1,1
23,14,1,9,6,0,2,1
54,1,1,4,2,1,3,1
40,4,2,8,2,0,5,1
40,11,3,3,6,0,4,1
44,14,1,10,8,1,2,1
37,7,2,2,5,0,4,0
37,10,1,2,6,0,3,0
50,6,2,2,9,0,5,0
29,12,3,7,5,1,5,1
49,2,1,4,2,1,5,1
46,8,1,7,9,1,1,1
46,14,1,6,8,1,5,1
34,12,3,5,5,1,1,1
35,4,2,3,8,0,5,0
40,5,1,8,8,0,4,1
36,12,1,9,0,1,4,1
36,8,3,9,0,1,5,1
42,13,2,1,4,1,5,1
29,1,3,8,4,1,1,1
49,4,3,9,9,1,1,1
37,6,1,9,5,1,1,1
45,7,2,8,2,1,3,1
33,12,1,5,7,0,1,0
35,12,1,7,6,0,1,0
51,7,3,10,1,0,3,1
53,8,3,7,7,0,5,0
40,5,1,9,9,0,2,1
26,12,3,4,2,0,3,0
50,8,3,8,0,0,1,1
23,3,2,9,9,1,3,1
45,1,1,5,6,1,4,1
38,2,1,3,7,1,4,1
48,7,2,4,3,0,5,0
24,6,3,1,3,0,1,0
39,10,2,5,6,0,4,0
42,5,2,9,1,1,3,1
22,14,2,1,1,1,1,1
28,9,3,5,5,1,5,1
44,8,2,3,1,1,1,1
37,9,1,7,1,1,1,1
32,7,3,3,3,0,3,0
56,2,2,3,6,1,1,1
43,5,2,3,5,0,3,0
56,11,2,8,2,1,3,1
54,9,2,10,1,0,1,1
57,6,2,7,3,1,5,1
49,2,2,10,2,1,5,1
32,7,1,7,1,0,2,0
26,11,3,1,9,0,4,1
39,3,1,3,9,1,1,1
25,11,2,2,9,1,1,1
59,14,2,5,0,1,3,1
52,12,2,7,9,1,5,1
45,8,1,4,9,0,1,1
51,11,2,9,0,1,5,1
52,11,1,8,5,0,2,1
33,6,3,6,4,0,1,1
24,8,1,10,3,0,3,1
51,10,1,1,8,1,5,1
29,13,3,3,9,0,4,0
31,7,2,2,2,1,5,1
45,7,1,1,0,0,5,0
22,4,3,6,4,1,4,1
39,10,1,10,8,0,5,1
43,14,1,8,3,1,2,1
52,10,3,4,9,0,1,1
48,11,1,5,7,1,1,1
37,4,3,5,5,0,1,1
39,5,1,8,1,1,5,1
32,5,2,2,3,0,4,1
39,2,3,8,0,0,5,1
25,4,2,8,4,0,1,1
31,10,1,9,1,1,4,1
51,6,2,10,3,0,1,1
25,2,3,6,4,0,1,0
